eta0,max_iter,learning_rate_schedule,train_mse,test_mse,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,train_explained_variance,test_explained_variance
0.001,10000,constant,6.522045920787775,7.988343494460163,2.553829657746925,2.826365775065245,1.845291790625089,2.120135126933715,0.38038095499000235,0.1808268909955052,0.3829223752723391,0.18124711664353266
0.0005,6000,constant,6.4999676801318635,7.9921009105877046,2.549503418340886,2.827030404963432,1.8431322463621382,2.113379756311754,0.38247847140691604,0.18044158279573186,0.38253840398332284,0.18455742278197185
0.0005,1000,constant,6.5230268007652175,8.002259953761177,2.5540216915220624,2.828826603692983,1.8490960962045886,2.109620156608283,0.38028776768002726,0.17939981299869,0.3804033811334383,0.18667496601435896
0.0005,10000,constant,6.501693250346665,8.021937062262374,2.549841808886713,2.832302431284903,1.8440271023356658,2.112119493029654,0.3823145357061284,0.17738200315384256,0.38245625704934927,0.18452420653401191
0.0005,3000,constant,6.488074854365395,8.031520959072658,2.5471699696654317,2.8339938177548407,1.841509293376543,2.1212888510079644,0.3836083348628603,0.1763992123472251,0.38368315078589155,0.179838595368346
0.001,1000,constant,6.485088618156118,8.054702246336426,2.5465837151281945,2.838080732878546,1.8378637835036744,2.116690631998301,0.38389203860408505,0.17402206279528654,0.3841951328850939,0.18171409412316997
0.001,3000,constant,6.477787902799754,8.113694675204469,2.5451498782585977,2.848454787284585,1.8422849769726213,2.134387899945198,0.3845856341923316,0.16797262195726115,0.3846449076837716,0.17268097955235662
0.001,6000,constant,6.489695903350953,8.150202509864037,2.5474881556841344,2.8548559525594346,1.84354823572949,2.1334641466632993,0.38345432907440913,0.16422888754701204,0.3852494657791453,0.176506108140278
0.005,3000,constant,6.5764110615242855,8.234244772967305,2.5644514153175697,2.8695373796079577,1.8333911800516274,2.1569773922871094,0.37521606087638937,0.15561068503708986,0.3765027987660031,0.15660557768400507
0.005,1000,constant,6.66338904619586,8.390755636413452,2.581354110964991,2.896680105985722,1.880524059350342,2.1987831300082297,0.36695282316637556,0.13956111347183708,0.37234431536472057,0.16045533895502517
0.01,1000,constant,6.883584576014683,8.531571412963743,2.6236586241381867,2.9208853816888714,1.9042903184238307,2.1938261157564405,0.34603341450858893,0.12512101114604457,0.34611747527169845,0.13413279162686575
0.01,3000,constant,6.8429119892725145,8.622221663390578,2.615896020348002,2.936361977582222,1.8753832241897648,2.2203111148277177,0.3498974641735788,0.11582518560653388,0.35690500958686566,0.11747522386757392
0.005,6000,constant,7.166349471218127,8.771845257401905,2.6770038235344615,2.961730112181376,1.9756759559885786,2.229313772087201,0.3191696793469163,0.10048187634952921,0.3699844587470138,0.19681952540158998
0.01,6000,constant,7.239908869104197,9.184827512869996,2.690707875096105,3.030648035135389,2.023980131820894,2.350764915128893,0.31218125816386333,0.05813217538710869,0.33722452109332157,0.07333892295304512
0.005,10000,constant,7.604946327602757,9.608140179757665,2.757706715298557,3.099700014478444,2.089599899593689,2.333616579578808,0.27750131813050116,0.014723131490106067,0.3772629324986846,0.15809841948355596
0.01,10000,constant,7.995055206681918,10.000790166432207,2.827552865408871,3.1624025939832845,2.129392140185541,2.354238354076834,0.2404394982597583,-0.025541575524285376,0.3297207080088602,0.1392198953738929
